Stock,yr,ct,bt
Athe_boy_AD,1970,3535,NA
Athe_boy_AD,1971,3835,NA
Athe_boy_AD,1972,3226,NA
Athe_boy_AD,1973,3691,NA
Athe_boy_AD,1974,3332,NA
Athe_boy_AD,1975,2860,NA
Athe_boy_AD,1976,2708,NA
Athe_boy_AD,1977,2372,NA
Athe_boy_AD,1978,2329,NA
Athe_boy_AD,1979,2523,NA
Athe_boy_AD,1980,2585,NA
Athe_boy_AD,1981,1845,NA
Athe_boy_AD,1982,1861,NA
Athe_boy_AD,1983,2137,NA
Athe_boy_AD,1984,1955,NA
Athe_boy_AD,1985,2310,NA
Athe_boy_AD,1986,2008,NA
Athe_boy_AD,1987,2473,NA
Athe_boy_AD,1988,2574,NA
Athe_boy_AD,1989,2051,NA
Athe_boy_AD,1990,1791,NA
Athe_boy_AD,1991,1677,NA
Athe_boy_AD,1992,1488,NA
Athe_boy_AD,1993,1670,NA
Athe_boy_AD,1994,1486,NA
Athe_boy_AD,1995,1022,NA
Athe_boy_AD,1996,982,NA
Athe_boy_AD,1997,1071,NA
Athe_boy_AD,1998,1084,NA
Athe_boy_AD,1999,850,NA
Athe_boy_AD,2000,647,NA
Athe_boy_AD,2001,497,NA
Athe_boy_AD,2002,507,NA
Athe_boy_AD,2003,705,NA
Athe_boy_AD,2004,668,NA
Athe_boy_AD,2005,1048,NA
Athe_boy_AD,2006,1239,NA
Athe_boy_AD,2007,900,NA
Athe_boy_AD,2008,930,NA
Athe_boy_AD,2009,1183,NA
Athe_boy_AD,2010,687,NA
Athe_boy_AD,2011,692,NA
Athe_boy_AD,2012,553,NA
Athe_boy_AD,2013,375,NA
Athe_boy_AD,2014,348,NA
Athe_boy_AD,2015,NA,NA
